Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
CLYBL		13q32.3	HOMDEL	236	20261	1.2%	No
ANAPC1		2q13	AMP	131	20261	0.6%	No
TNPO3		7q32.1	AMP	836	20261	4.1%	No
ARPP21		3p22.3	HOMDEL	229	20261	1.1%	No
BLNK		10q24.1	AMP	84	20261	0.4%	No
SPEN		1p36.21-p36.13	HOMDEL	604	20261	3.0%	Yes
HS6ST2		Xq26.2	HOMDEL	560	20261	2.8%	No
LINC01317		2p22.3	AMP	386	20261	1.9%	No
ABCA4		1p22.1	HOMDEL	222	20261	1.1%	No
CDH18		5p14.3	HOMDEL	123	20261	0.6%	No
RBFOX1		16p13.3	AMP	394	20261	1.9%	No
HIST1H3B		6p22.2	HOMDEL	107	20261	0.5%	Yes
CADPS2		7q31.32	AMP	810	20261	4.0%	No
HIST1H3C		6p22.2	AMP	373	20261	1.8%	Yes
LRMDA		10q22.2-q22.3	AMP	158	20261	0.8%	No
PAK2		3q29	AMP	367	20261	1.8%	No
FANCF		11p14.3	HOMDEL	363	20261	1.8%	Yes
CUL3		2q36.2	HOMDEL	174	20261	0.9%	Yes
GLI2		2q14.2	HOMDEL	209	20261	1.0%	No
NDRG4		16q21	AMP	91	20261	0.4%	No
GSK3B		3q13.33	HOMDEL	237	20261	1.2%	Yes
RGS22		8q22.2	AMP	1192	20261	5.9%	No
TULP3		12p13.33	AMP	290	20261	1.4%	No
RYR1		19q13.2	AMP	277	20261	1.4%	No
MRLN		10q21.2	HOMDEL	310	20261	1.5%	No
FOXO1		13q14.11	AMP	436	20261	2.2%	Yes
LINC01090		2q32.1	AMP	152	20261	0.8%	No
YIF1A		11q13.2	HOMDEL	93	20261	0.5%	No
SMAD4		18q21.2	HOMDEL	609	20261	3.0%	Yes
DOCK2		5q35.1	HOMDEL	138	20261	0.7%	No
DPP6		7q36.2	HOMDEL	86	20261	0.4%	No
GNA11		19p13.3	HOMDEL	492	20261	2.4%	Yes
MEF2C-AS2		5q14.3	HOMDEL	200	20261	1.0%	No
PAK3		Xq23	AMP	252	20261	1.2%	Yes
PIEZO2		18p11.22-p11.21	HOMDEL	156	20261	0.8%	No
HIP1		7q11.23	HOMDEL	81	20261	0.4%	Yes
BHLHB9		Xq22.1	AMP	52	20261	0.3%	No
CRYBB1		22q12.1	AMP	93	20261	0.5%	No
MUC16		19p13.2	HOMDEL	145	20261	0.7%	No
TP53		17p13.1	AMP	568	20261	2.8%	Yes
GSG1L		16p12.1	AMP	222	20261	1.1%	No
FGF6		12p13.32	HOMDEL	203	20261	1.0%	Yes
RYR2		1q43	AMP	799	20261	3.9%	No
TMOD2		15q21.2	HOMDEL	204	20261	1.0%	No
KIAA0319L		1p34.3	HOMDEL	174	20261	0.9%	No
KCNQ3		8q24.22	HOMDEL	70	20261	0.3%	No
PTCH1		9q22.32	AMP	358	20261	1.8%	Yes
DDX41		5q35.3	AMP	522	20261	2.6%	Yes
ARHGAP26		5q31.3	HOMDEL	98	20261	0.5%	Yes
FRMD4A		10p13	AMP	236	20261	1.2%	No
FAM3D		3p14.2	AMP	82	20261	0.4%	No
SPOCK1		5q31.2	HOMDEL	261	20261	1.3%	No
ASZ1		7q31.2	AMP	587	20261	2.9%	No
ATP6AP1		Xq28	HOMDEL	166	20261	0.8%	Yes
NDUFA9		12p13.32	AMP	465	20261	2.3%	No
TCF4		18q21.2	AMP	211	20261	1.0%	No
MYO16		13q33.3	HOMDEL	239	20261	1.2%	No
CHD4		12p13.31	AMP	796	20261	3.9%	Yes
SERGEF		11p15.1	AMP	80	20261	0.4%	No
MIR515-1		19q13.42	HOMDEL	445	20261	2.2%	No
MAML3		4q31.1	HOMDEL	336	20261	1.7%	No
DDX52		17q12	AMP	228	20261	1.1%	No
PTCHD4		6p12.3	AMP	211	20261	1.0%	No
RYR3		15q13.3-q14	AMP	82	20261	0.4%	No
NUP93		16q13	AMP	257	20261	1.3%	Yes
STEAP1B		7p15.3	HOMDEL	54	20261	0.3%	No
PTEN		10q23.31	AMP	117	20261	0.6%	Yes
KIF13A		6p22.3	HOMDEL	87	20261	0.4%	No
PIN4		Xq13.1	HOMDEL	385	20261	1.9%	No
PACS1		11q13.1-q13.2	AMP	250	20261	1.2%	No
ST6GALNAC5		1p31.1	AMP	130	20261	0.6%	No
IRS2		13q34	AMP	1009	20261	5.0%	Yes
RALGAPA1		14q13.2	AMP	185	20261	0.9%	No
KLHL6		3q27.1	AMP	998	20261	4.9%	Yes
TBX3		12q24.21	AMP	450	20261	2.2%	Yes
SYN3		22q12.3	AMP	244	20261	1.2%	No
FANCA		16q24.3	HOMDEL	827	20261	4.1%	Yes
PRC1		15q26.1	HOMDEL	88	20261	0.4%	No
FARP1		13q32.2	AMP	164	20261	0.8%	No
DICER1		14q32.13	AMP	373	20261	1.8%	Yes
DIRC3		2q35	AMP	134	20261	0.7%	No
SUCO		1q24.3	HOMDEL	22	20261	0.1%	No
USH1C		11p15.1	HOMDEL	187	20261	0.9%	No
TENM4		11q14.1	HOMDEL	149	20261	0.7%	No
BMPR1A		10q23.2	HOMDEL	844	20261	4.2%	Yes
EPHA3		3p11.1	HOMDEL	382	20261	1.9%	Yes
FANCL		2p16.1	AMP	396	20261	2.0%	Yes
ALOX5AP		13q12.3	AMP	235	20261	1.2%	No
LINC01277		6q24.2	HOMDEL	359	20261	1.8%	No
TNFRSF11A		18q21.33	AMP	110	20261	0.5%	Yes
BRINP3		1q31.1	HOMDEL	22	20261	0.1%	No
HNF1A		12q24.31	AMP	513	20261	2.5%	Yes
NQO2		6p25.2	AMP	227	20261	1.1%	No
C15ORF32		15q26.1	AMP	145	20261	0.7%	No
SKP1		5q31.1	AMP	126	20261	0.6%	No
VPS4B		18q21.33	HOMDEL	248	20261	1.2%	No
TMEM154		4q31.3	AMP	71	20261	0.4%	No
SIPA1L1		14q24.2	AMP	111	20261	0.5%	No
GTPBP10		7q21.13	HOMDEL	30	20261	0.1%	No
EDNRB		13q22.3	AMP	171	20261	0.8%	No
CELF4		18q12.2	HOMDEL	280	20261	1.4%	No
AXDND1		1q25.2	HOMDEL	34	20261	0.2%	No
HPSE2		10q24.2	HOMDEL	833	20261	4.1%	No
GTPBP10		7q21.13	AMP	600	20261	3.0%	No
DGKB		7p21.2	AMP	955	20261	4.7%	No
IL4		5q31.1	HOMDEL	118	20261	0.6%	No
FRS2		12q15	AMP	978	20261	4.8%	Yes
AIMP2		7p22.1	AMP	809	20261	4.0%	No
CR2		1q32.2	AMP	818	20261	4.0%	No
ESR1		6q25.1-q25.2	HOMDEL	596	20261	2.9%	Yes
POLR2F		22q13.1	AMP	119	20261	0.6%	No
RFTN1		3p24.3	AMP	113	20261	0.6%	No
SSBP2		5q14.1	HOMDEL	182	20261	0.9%	No
MIR548F3		5q22.1	HOMDEL	48	20261	0.2%	No
PAPPA2		1q25.2	AMP	805	20261	4.0%	No
SAMD12		8q24.11-q24.12	HOMDEL	58	20261	0.3%	No
TTC22		1p32.3	HOMDEL	299	20261	1.5%	No
EED		11q14.2	AMP	186	20261	0.9%	Yes
ZNF451		6p12.1	AMP	179	20261	0.9%	No
ATAD2B		2p24.1-p23.3	HOMDEL	80	20261	0.4%	No
LINC01214		3q25.1	HOMDEL	84	20261	0.4%	No
BTG1		12q21.33	HOMDEL	166	20261	0.8%	Yes
PKIA		8q21.13	AMP	523	20261	2.6%	No
MIR512-2		19q13.42	HOMDEL	489	20261	2.4%	No
SNAP25-AS1		20p12.2	HOMDEL	105	20261	0.5%	No
PHTF2		7q11.23-q21.11	AMP	784	20261	3.9%	No
LOXHD1		18q21.1	HOMDEL	305	20261	1.5%	No
YWHAB		20q13.12	AMP	470	20261	2.3%	No
PIN4		Xq13.1	AMP	38	20261	0.2%	No
SSU72		1p36.33	HOMDEL	304	20261	1.5%	No
ITPR1		3p26.1	HOMDEL	214	20261	1.1%	No
SUSD4		1q41	AMP	476	20261	2.3%	No
TRIM28		19q13.43	AMP	234	20261	1.2%	No
IFT43		14q24.3	AMP	120	20261	0.6%	No
SENP3		17p13.1	AMP	154	20261	0.8%	No
AAGAB		15q23	AMP	89	20261	0.4%	No
DAG1		3p21.31	AMP	227	20261	1.1%	No
CCDC61		19q13.32	AMP	256	20261	1.3%	No
TNIK		3q26.2-q26.31	HOMDEL	150	20261	0.7%	No
TMOD2		15q21.2	AMP	94	20261	0.5%	No
MFN2		1p36.22	AMP	272	20261	1.3%	No
FOXA1		14q21.1	AMP	514	20261	2.5%	Yes
PBRM1		3p21.1	AMP	168	20261	0.8%	Yes
WNK2		9q22.31	AMP	120	20261	0.6%	No
ADCY5		3q21.1	AMP	209	20261	1.0%	No
RAB27A		15q21.3	AMP	68	20261	0.3%	No
ROS1		6q22.1	HOMDEL	805	20261	4.0%	Yes
ABHD17C		15q25.1	AMP	96	20261	0.5%	No
ITGAV		2q32.1	HOMDEL	45	20261	0.2%	No
MET		7q31.2	AMP	1720	20261	8.5%	Yes
ACOT13		6p22.3	AMP	385	20261	1.9%	No
FHL2		2q12.2	AMP	154	20261	0.8%	No
WWTR1		3q25.1	AMP	542	20261	2.7%	Yes
ZNF516		18q23	HOMDEL	371	20261	1.8%	No
PTH		11p15.3	AMP	85	20261	0.4%	No
RAB27B		18q21.2	AMP	104	20261	0.5%	No
RER1		1p36.32	HOMDEL	409	20261	2.0%	No
STAC		3p22.3-p22.2	AMP	100	20261	0.5%	No
FH		1q43	AMP	1272	20261	6.3%	Yes
IRAIN		15q26.3	HOMDEL	97	20261	0.5%	No
ADCY8		8q24.22	AMP	593	20261	2.9%	No
HNF1A		12q24.31	HOMDEL	164	20261	0.8%	Yes
IL36B		2q14.1	HOMDEL	39	20261	0.2%	No
GSN		9q33.2	AMP	223	20261	1.1%	No
ZNF783		7q36.1	HOMDEL	60	20261	0.3%	No
NCK2		2q12.2	HOMDEL	83	20261	0.4%	No
TRAF3IP2		6q21	HOMDEL	381	20261	1.9%	No
ARID5B		10q21.2	HOMDEL	698	20261	3.4%	Yes
PRPF8		17p13.3	AMP	178	20261	0.9%	Yes
SNRPG		2p13.3	AMP	131	20261	0.6%	No
KIT		4q12	HOMDEL	354	20261	1.7%	Yes
CPT1B		22q13.33	HOMDEL	336	20261	1.7%	No
PHACTR1		6p24.1	AMP	417	20261	2.1%	No
TPO		2p25.3	AMP	146	20261	0.7%	No
GRB10		7p12.1	HOMDEL	87	20261	0.4%	No
LINC00607		2q35	HOMDEL	88	20261	0.4%	No
FHIT		3p14.2	AMP	90	20261	0.4%	Yes
MIR4457		5p15.33	AMP	1110	20261	5.5%	No
RAC1		7p22.1	HOMDEL	169	20261	0.8%	Yes
AHI1		6q23.3	HOMDEL	347	20261	1.7%	No
NUTM1		15q14	AMP	134	20261	0.7%	Yes
COL4A4		2q36.3	HOMDEL	85	20261	0.4%	No
NFIB		9p23-p22.3	HOMDEL	472	20261	2.3%	Yes
PACS1		11q13.1-q13.2	HOMDEL	106	20261	0.5%	No
LINC01507		9q21.31	HOMDEL	352	20261	1.7%	No
SND1		7q32.1	HOMDEL	42	20261	0.2%	Yes
SLC1A1		9p24.2	AMP	141	20261	0.7%	No
SNRPN		15q11.2	AMP	98	20261	0.5%	No
EPSTI1		13q14.11	HOMDEL	325	20261	1.6%	No
DCT		13q32.1	HOMDEL	300	20261	1.5%	No
NBPF20		1q21.1	HOMDEL	65	20261	0.3%	No
ESR1		6q25.1-q25.2	AMP	245	20261	1.2%	Yes
TMEM178B		7q34	AMP	1484	20261	7.3%	No
CLRN1-AS1		3q25.1	AMP	469	20261	2.3%	No
CALR		19p13.13	HOMDEL	294	20261	1.5%	Yes
CCSER1		4q22.1	HOMDEL	366	20261	1.8%	No
C6ORF132		6p21.1	AMP	269	20261	1.3%	No
LINC00871		14q21.2	HOMDEL	174	20261	0.9%	No
KHDRBS2		6q11.1	AMP	152	20261	0.8%	No
INO80C		18q12.2	AMP	112	20261	0.6%	No
SERINC2		1p35.2	AMP	131	20261	0.6%	No
DRC7		16q21	AMP	129	20261	0.6%	No
GSK3B		3q13.33	AMP	448	20261	2.2%	Yes
PPP6C		9q33.3	HOMDEL	352	20261	1.7%	Yes
TBC1D22A		22q13.31	HOMDEL	486	20261	2.4%	No
SLC1A2		11p13	AMP	169	20261	0.8%	Yes
NFKBIE		6p21.1	HOMDEL	175	20261	0.9%	Yes
PAX7		1p36.13	AMP	206	20261	1.0%	Yes
CHD5		1p36.31	AMP	311	20261	1.5%	No
GOSR2		17q21.32	AMP	352	20261	1.7%	No
ZNF605		12q24.33	AMP	196	20261	1.0%	No
RNF212		4p16.3	AMP	228	20261	1.1%	No
ASB2		14q32.12	AMP	193	20261	1.0%	No
UGGT2		13q32.1	HOMDEL	294	20261	1.5%	No
UGT2A1		4q13.3	HOMDEL	128	20261	0.6%	No
LINC01322		3q26.1	AMP	310	20261	1.5%	No
ZBTB16		11q23.2	AMP	117	20261	0.6%	Yes
CTNNA1		5q31.2	HOMDEL	257	20261	1.3%	Yes
NPSR1-AS1		7p14.3	AMP	929	20261	4.6%	No
EDNRB		13q22.3	HOMDEL	293	20261	1.4%	No
SP140		2q37.1	HOMDEL	106	20261	0.5%	Yes
ADAMTSL1		9p22.2-p22.1	HOMDEL	503	20261	2.5%	No
LARP4B		10p15.3	AMP	253	20261	1.2%	Yes
VPS13C		15q22.2	AMP	114	20261	0.6%	No
ATM		11q22.3	HOMDEL	441	20261	2.2%	Yes
LINC01684		21q21.2	AMP	252	20261	1.2%	No
IGSF11		3q13.32	HOMDEL	131	20261	0.6%	No
PRDM5		4q27	HOMDEL	210	20261	1.0%	No
XPO4		13q12.11	HOMDEL	260	20261	1.3%	No
KCNQ2		20q13.33	AMP	883	20261	4.4%	No
MTTP		4q23	AMP	46	20261	0.2%	No
GRM5		11q14.2-q14.3	HOMDEL	344	20261	1.7%	No
SPRY4		5q31.3	HOMDEL	98	20261	0.5%	No
CREBL2		12p13.1	AMP	300	20261	1.5%	No
FLT1		13q12.3	AMP	367	20261	1.8%	Yes
REEP3		10q21.3	HOMDEL	388	20261	1.9%	No
GRIA1		5q33.2	AMP	361	20261	1.8%	No
XRCC4		5q14.2	HOMDEL	128	20261	0.6%	No
CR2		1q32.2	HOMDEL	40	20261	0.2%	No
AAGAB		15q23	HOMDEL	107	20261	0.5%	No
PIP5K1B		9q21.11	HOMDEL	204	20261	1.0%	No
SS18		18q11.2	AMP	415	20261	2.0%	Yes
CD200		3q13.2	HOMDEL	129	20261	0.6%	No
KIRREL3		11q24.2	HOMDEL	268	20261	1.3%	No
LRRTM3		10q21.3	AMP	96	20261	0.5%	No
UROC1		3q21.3	AMP	351	20261	1.7%	No
TANC2		17q23.2-q23.3	HOMDEL	38	20261	0.2%	No
RALYL		8q21.2	AMP	521	20261	2.6%	No
PCSK2		20p12.1	AMP	456	20261	2.3%	No
CUX1		7q22.1	HOMDEL	169	20261	0.8%	Yes
IKZF3		17q12-q21.1	HOMDEL	224	20261	1.1%	Yes
FRMD4B		3p14.1	HOMDEL	237	20261	1.2%	No
DIO2-AS1		14q31.1	HOMDEL	266	20261	1.3%	No
MAX		14q23.3	HOMDEL	261	20261	1.3%	Yes
ADGRG4		Xq26.3	AMP	228	20261	1.1%	Yes
LINC01619		12q21.33	HOMDEL	91	20261	0.4%	No
GALK2		15q21.1-q21.2	AMP	59	20261	0.3%	No
UHRF1BP1L		12q23.1	HOMDEL	75	20261	0.4%	No
ADAMTS9		3p14.1	HOMDEL	203	20261	1.0%	No
BNC2		9p22.3-p22.2	HOMDEL	393	20261	1.9%	No
C1ORF100		1q44	AMP	823	20261	4.1%	No
POLR2A		17p13.1	AMP	368	20261	1.8%	No
LINC01812		2p14	AMP	175	20261	0.9%	No
ANKRD26P1		16q11.2	AMP	92	20261	0.5%	No
NTN1		17p13.1	HOMDEL	650	20261	3.2%	No
CREBBP		16p13.3	AMP	462	20261	2.3%	Yes
KCNN3		1q21.3	AMP	1009	20261	5.0%	No
IGF1R		15q26.3	HOMDEL	239	20261	1.2%	Yes
TEX41		2q22.3	AMP	115	20261	0.6%	No
AXL		19q13.2	AMP	490	20261	2.4%	Yes
PTEN		10q23.31	HOMDEL	1022	20261	5.0%	Yes
TTC23L		5p13.2	AMP	747	20261	3.7%	No
RUNX1		21q22.12	AMP	532	20261	2.6%	Yes
EZH2		7q36.1	AMP	1506	20261	7.4%	Yes
NAP1L4		11p15.4	AMP	70	20261	0.3%	No
CLNK		4p16.1	HOMDEL	153	20261	0.8%	No
GRIP1		12q14.3	HOMDEL	61	20261	0.3%	No
PTPN11		12q24.13	HOMDEL	173	20261	0.9%	Yes
SOCS4		14q22.3	HOMDEL	182	20261	0.9%	No
LIPI		21q11.2	AMP	167	20261	0.8%	No
BPIFC		22q12.3	HOMDEL	421	20261	2.1%	No
PSD3		8p22	AMP	233	20261	1.1%	No
NSUN6		10p12.31	AMP	216	20261	1.1%	No
RUNX1T1		8q21.3	AMP	1670	20261	8.2%	Yes
OR5L1		11q12.1	AMP	128	20261	0.6%	No
SCAPER		15q24.3	AMP	137	20261	0.7%	No
FRG1JP		9q13	HOMDEL	212	20261	1.0%	No
B4GALNT1		12q13.3	AMP	263	20261	1.3%	No
FOXN2		2p16.3	AMP	217	20261	1.1%	No
TERT		5p15.33	HOMDEL	483	20261	2.4%	Yes
CREB1		2q33.3	AMP	283	20261	1.4%	Yes
LINC02073		17q21.33	HOMDEL	63	20261	0.3%	No
SKP1		5q31.1	HOMDEL	114	20261	0.6%	No
CCSER1		4q22.1	AMP	114	20261	0.6%	No
KCNMB2		3q26.32	HOMDEL	71	20261	0.4%	No
C7		5p13.1	AMP	721	20261	3.6%	No
MBOAT2		2p25.1	HOMDEL	86	20261	0.4%	No
CWC15		11q21	HOMDEL	208	20261	1.0%	No
LINC01924		18q22.1	AMP	209	20261	1.0%	No
AGAP1		2q37.2	HOMDEL	138	20261	0.7%	No
BICC1		10q21.1	HOMDEL	389	20261	1.9%	No
PRKACA		19p13.12	AMP	748	20261	3.7%	Yes
ABI3BP		3q12.2	AMP	180	20261	0.9%	No
EXOC4		7q33	AMP	604	20261	3.0%	No
MAST4		5q12.3	HOMDEL	145	20261	0.7%	No
DIP2B		12q13.12	HOMDEL	69	20261	0.3%	No
MIR184		15q25.1	AMP	90	20261	0.4%	No
MIR4713HG		15q21.2	HOMDEL	204	20261	1.0%	No
GPC3		Xq26.2	HOMDEL	555	20261	2.7%	Yes
SPOP		17q21.33	HOMDEL	126	20261	0.6%	Yes
EZH1		17q21.2	AMP	926	20261	4.6%	Yes
CRIM1		2p22.2	AMP	194	20261	1.0%	No
LPIN2		18p11.31	HOMDEL	151	20261	0.7%	No
RBM20		10q25.2	AMP	158	20261	0.8%	No
SOX2-OT		3q26.33	AMP	458	20261	2.3%	No
PRKACB		1p31.1	AMP	121	20261	0.6%	No
CFAP54		12q23.1	HOMDEL	92	20261	0.5%	No
NF1		17q11.2	HOMDEL	298	20261	1.5%	Yes
VPS13A		9q21.2	AMP	166	20261	0.8%	No
STXBP6		14q12	HOMDEL	163	20261	0.8%	No
NUBPL		14q12	AMP	250	20261	1.2%	No
ENPP1		6q23.2	HOMDEL	348	20261	1.7%	No
LINC00501		3q26.32	HOMDEL	74	20261	0.4%	No
CDC42		1p36.12	AMP	210	20261	1.0%	Yes
CBFB		16q22.1	AMP	719	20261	3.5%	Yes
LINC01619		12q21.33	AMP	247	20261	1.2%	No
EPS15L1		19p13.11	HOMDEL	101	20261	0.5%	No
ARID2		12q12	AMP	489	20261	2.4%	Yes
EPB42		15q15.2	HOMDEL	222	20261	1.1%	No
LTB		6p21.33	AMP	355	20261	1.8%	Yes
SLC22A1		6q25.3	AMP	116	20261	0.6%	No
CASKIN2		17q25.1	AMP	418	20261	2.1%	No
GLIS3		9p24.2	HOMDEL	476	20261	2.3%	No
CCNE1		19q12	HOMDEL	275	20261	1.4%	Yes
VIRMA		8q22.1	HOMDEL	57	20261	0.3%	No
KLHL32		6q16.1	AMP	60	20261	0.3%	No
PAX5		9p13.2	AMP	397	20261	2.0%	Yes
ZNF2		2q11.1	HOMDEL	56	20261	0.3%	No
ZNF639		3q26.33	AMP	371	20261	1.8%	No
RMDN2		2p22.2	AMP	199	20261	1.0%	No
HPCAL1		2p25.1	HOMDEL	83	20261	0.4%	No
SKAP1		17q21.32	HOMDEL	75	20261	0.4%	No
CDH1		16q22.1	AMP	585	20261	2.9%	Yes
VDAC1		5q31.1	HOMDEL	162	20261	0.8%	No
CEP112		17q24.1	HOMDEL	53	20261	0.3%	No
MIR548O2		20q11.23	AMP	182	20261	0.9%	No
CRLF2		Xp22.33 and Yp11.2	AMP	1543	20261	7.6%	Yes
PRPF40B		12q13.12	HOMDEL	70	20261	0.3%	No
CHEK2		22q12.1	HOMDEL	750	20261	3.7%	Yes
L3MBTL4		18p11.31	HOMDEL	158	20261	0.8%	No
CASP8		2q33.1	HOMDEL	90	20261	0.4%	Yes
TOP2A		17q21.2	HOMDEL	217	20261	1.1%	Yes
OPCML		11q25	AMP	173	20261	0.9%	No
ELANE		19p13.3	AMP	292	20261	1.4%	No
BAIAP2L1		7q21.3-q22.1	HOMDEL	45	20261	0.2%	No
CBL		11q23.3	AMP	310	20261	1.5%	Yes
FAM149B1		10q22.2	HOMDEL	319	20261	1.6%	No
CEBPA		19q13.11	HOMDEL	295	20261	1.5%	Yes
PLCB1		20p12.3	AMP	469	20261	2.3%	No
NBEA		13q13.3	AMP	110	20261	0.5%	No
STXBP5		6q24.3	AMP	128	20261	0.6%	No
SLC22A2		6q25.3	AMP	90	20261	0.4%	No
NRXN1		2p16.3	HOMDEL	91	20261	0.4%	No
IMMP2L		7q31.1	AMP	1392	20261	6.9%	No
RARA		17q21.2	AMP	652	20261	3.2%	Yes
CLYBL		13q32.3	AMP	165	20261	0.8%	No
LHFPL2		5q14.1	HOMDEL	192	20261	0.9%	No
ARID4B		1q42.3	HOMDEL	58	20261	0.3%	Yes
WDR64		1q43	AMP	802	20261	4.0%	No
CPPED1		16p13.12	HOMDEL	85	20261	0.4%	No
ATL1		14q22.1	AMP	136	20261	0.7%	No
ZFPM1		16q24.2	HOMDEL	395	20261	1.9%	No
SLC38A6		14q23.1	AMP	127	20261	0.6%	No
MDGA2		14q21.3	HOMDEL	387	20261	1.9%	No
GASK1A		3p22.1	AMP	89	20261	0.4%	No
CBLB		3q13.11	AMP	209	20261	1.0%	Yes
PRKD3		2p22.2	HOMDEL	46	20261	0.2%	No
CHODL		21q21.1	HOMDEL	110	20261	0.5%	No
KCNMA1		10q22.3	AMP	153	20261	0.8%	No
RFTN1		3p24.3	HOMDEL	174	20261	0.9%	No
PPP1R13B		14q32.33	AMP	235	20261	1.2%	No
BIN3		8p21.3	AMP	162	20261	0.8%	No
RB1		13q14.2	HOMDEL	907	20261	4.5%	Yes
YIF1A		11q13.2	AMP	178	20261	0.9%	No
KIAA1671		22q11.23	AMP	102	20261	0.5%	No
LRFN2		6p21.2-p21.1	HOMDEL	80	20261	0.4%	No
CXCR4		2q22.1	HOMDEL	142	20261	0.7%	Yes
ACAT1		11q22.3	AMP	136	20261	0.7%	No
CCDC25		8p21.1	AMP	240	20261	1.2%	No
TGS1		8q12.1	AMP	785	20261	3.9%	No
RARB		3p24.2	AMP	201	20261	1.0%	No
CLNK		4p16.1	AMP	93	20261	0.5%	No
THSD4		15q23	HOMDEL	260	20261	1.3%	No
FMNL2		2q23.3	AMP	136	20261	0.7%	No
CRYBG3		3q11.2	HOMDEL	127	20261	0.6%	No
MCF2L2		3q27.1	AMP	393	20261	1.9%	No
IPO11		5q12.1	AMP	187	20261	0.9%	No
RIT2		18q12.3	AMP	98	20261	0.5%	No
CA6		1p36.23	HOMDEL	244	20261	1.2%	No
FOSB		19q13.32	HOMDEL	287	20261	1.4%	No
AIP		11q13.2	HOMDEL	88	20261	0.4%	No
FAF1		1p32.3	HOMDEL	198	20261	1.0%	Yes
IPO11		5q12.1	HOMDEL	198	20261	1.0%	No
PUDP		Xp22.31	HOMDEL	189	20261	0.9%	No
NOS1		12q24.22	AMP	242	20261	1.2%	No
MAP3K8		10p11.23	HOMDEL	371	20261	1.8%	No
FSTL4		5q31.1	AMP	194	20261	1.0%	No
PATJ		1p31.3	HOMDEL	309	20261	1.5%	No
IKZF2		2q34	HOMDEL	186	20261	0.9%	Yes
TPT1-AS1		13q14.13	AMP	200	20261	1.0%	No
ALDH1L1-AS2		3q21.3	AMP	336	20261	1.7%	No
PDE1C		7p14.3	HOMDEL	77	20261	0.4%	No
BCL6		3q27.3	AMP	934	20261	4.6%	Yes
FAM172A		5q15	HOMDEL	136	20261	0.7%	No
AP1S3		2q36.1	AMP	137	20261	0.7%	No
ACVR1B		12q13.13	HOMDEL	122	20261	0.6%	Yes
ZNF331		19q13.42	AMP	281	20261	1.4%	Yes
CNTN4		3p26.3-p26.2	AMP	253	20261	1.2%	No
IL19		1q32.1	AMP	481	20261	2.4%	No
LINC00535		8q22.1	AMP	1608	20261	7.9%	No
NECTIN1		11q23.3	HOMDEL	232	20261	1.1%	No
LARS		5q32	HOMDEL	100	20261	0.5%	No
FLI1		11q24.3	AMP	170	20261	0.8%	Yes
LINC01616		11p14.1	AMP	84	20261	0.4%	No
EZH1		17q21.2	HOMDEL	349	20261	1.7%	Yes
PLCE1		10q23.33	AMP	125	20261	0.6%	No
RXRG		1q23.3	HOMDEL	26	20261	0.1%	No
SLFN12L		17q12	HOMDEL	124	20261	0.6%	No
RIT1		1q22	AMP	1715	20261	8.5%	Yes
KBTBD4		11p11.2	HOMDEL	172	20261	0.8%	Yes
SLIT3		5q34-q35.1	AMP	271	20261	1.3%	Yes
PRPF40B		12q13.12	AMP	389	20261	1.9%	No
CSMD2		1p35.1	HOMDEL	314	20261	1.5%	No
TNFRSF14		1p36.32	HOMDEL	799	20261	3.9%	Yes
ZNF536		19q12	AMP	497	20261	2.5%	No
MYH7B		20q11.22	AMP	693	20261	3.4%	No
XPO5		6p21.1	AMP	276	20261	1.4%	No
LPCAT1		5p15.33	HOMDEL	173	20261	0.9%	No
ACAT1		11q22.3	HOMDEL	197	20261	1.0%	No
STX18-AS1		4p16.2	HOMDEL	200	20261	1.0%	No
DOT1L		19p13.3	HOMDEL	532	20261	2.6%	Yes
RNF114		20q13.13	HOMDEL	24	20261	0.1%	No
FOXN3		14q31.3-q32.11	AMP	296	20261	1.5%	No
KAT2B		3p24.3	AMP	106	20261	0.5%	No
ST6GALNAC5		1p31.1	HOMDEL	325	20261	1.6%	No
TMEM135		11q14.2	AMP	178	20261	0.9%	No
TET2		4q24	AMP	129	20261	0.6%	Yes
CREBRF		5q35.1	AMP	170	20261	0.8%	No
FRK		6q22.1	AMP	105	20261	0.5%	No
NCOR1		17p12-p11.2	AMP	314	20261	1.5%	Yes
LMCD1		3p25.3	HOMDEL	206	20261	1.0%	No
GPR158		10p12.1	AMP	160	20261	0.8%	No
PTPRJ		11p11.2	HOMDEL	133	20261	0.7%	No
UNC80		2q34	HOMDEL	81	20261	0.4%	No
ZNF546		19q13.2	AMP	249	20261	1.2%	No
AXDND1		1q25.2	AMP	808	20261	4.0%	No
DAGLA		11q12.2	HOMDEL	107	20261	0.5%	No
ANOS1		Xp22.31	HOMDEL	183	20261	0.9%	No
TYK2		19p13.2	AMP	732	20261	3.6%	Yes
SIN3A		15q24.2	AMP	249	20261	1.2%	No
MRE11		11q21	AMP	66	20261	0.3%	Yes
MAPK9		5q35.3	AMP	352	20261	1.7%	No
STEAP3		2q14.2	AMP	103	20261	0.5%	No
BCORL1		Xq26.1	AMP	268	20261	1.3%	Yes
PRKN		6q26	AMP	90	20261	0.4%	Yes
RYR3		15q13.3-q14	HOMDEL	231	20261	1.1%	No
