Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RNF11	1	1	4330	<0.1%	No
SART3	1	1	4330	<0.1%	No
SNRNP70	2	2	4330	<0.1%	No
ZNF526	1	1	4330	<0.1%	No
EMILIN1	1	1	4330	<0.1%	No
SLC37A3	1	1	4330	<0.1%	No
DIS3	1	1	4330	<0.1%	Yes
DNMT3A	2	2	4330	<0.1%	Yes
COBL	1	1	4330	<0.1%	No
HAUS6	1	1	4330	<0.1%	No
SMC1A	1	1	4330	<0.1%	Yes
TRAF7	2	2	4330	<0.1%	Yes
NPEPL1	1	1	4330	<0.1%	No
ESPL1	1	1	4330	<0.1%	No
TRAF3	2	2	4330	<0.1%	Yes
SOS1	1	1	4330	<0.1%	Yes
NUTM1	9	9	4330	0.2%	Yes
PLAG1	13	13	4330	0.3%	Yes
HERC2P3	1	1	4330	<0.1%	No
THSD4	1	1	4330	<0.1%	No
JAKMIP2	1	1	4330	<0.1%	No
LEUTX	1	1	4330	<0.1%	No
P2RY8	2	2	4330	<0.1%	Yes
DNAJB1	10	10	4330	0.2%	Yes
RAB26	1	1	4330	<0.1%	No
JAZF1	18	18	4330	0.4%	Yes
SMARCE1	4	4	4330	<0.1%	Yes
TUB	1	1	4330	<0.1%	No
SPAG9	1	1	4330	<0.1%	No
TXNRD2	1	1	4330	<0.1%	No
WDR97	1	1	4330	<0.1%	No
CDC42BPB	1	1	4330	<0.1%	No
KLF4	1	1	4330	<0.1%	Yes
SGCZ	1	1	4330	<0.1%	No
ASXL1	3	3	4330	<0.1%	Yes
RAD51	1	1	4330	<0.1%	Yes
APC	13	13	4330	0.3%	Yes
ASXL2	1	1	4330	<0.1%	Yes
BCOR	28	28	4330	0.6%	Yes
TPT1	1	1	4330	<0.1%	No
TNRC6B	1	1	4330	<0.1%	No
VIPR2	1	1	4330	<0.1%	No
GFI1	2	2	4330	<0.1%	No
ZMYND8	1	1	4330	<0.1%	No
ANTXR2	1	1	4330	<0.1%	No
SOX2	2	2	4330	<0.1%	Yes
SYNPR	1	1	4330	<0.1%	No
GOLGA4	2	2	4330	<0.1%	No
RPS6KA5	1	1	4330	<0.1%	No
RPS6KA2	1	1	4330	<0.1%	No
CHEK2	4	4	4330	<0.1%	Yes
SOX9	3	3	4330	<0.1%	Yes
SOX6	1	1	4330	<0.1%	No
CDON	1	1	4330	<0.1%	No
SLC11A2	1	1	4330	<0.1%	No
EBF1	3	3	4330	<0.1%	Yes
RECQL	1	1	4330	<0.1%	Yes
DLEC1	1	1	4330	<0.1%	No
KNL1	1	1	4330	<0.1%	Yes
RUNX1	37	37	4330	0.9%	Yes
INPP4B	2	2	4330	<0.1%	Yes
POR	1	1	4330	<0.1%	No
AKAP9	1	1	4330	<0.1%	No
TLN1	2	2	4330	<0.1%	No
EZR	7	7	4330	0.2%	Yes
NBL1	1	1	4330	<0.1%	No
CFTR	1	1	4330	<0.1%	No
TSHZ3	1	1	4330	<0.1%	No
STXBP4	1	1	4330	<0.1%	No
KLK4	1	1	4330	<0.1%	No
CD79B	1	1	4330	<0.1%	Yes
MARC1	1	1	4330	<0.1%	No
MAP7	1	1	4330	<0.1%	No
PATZ1	16	16	4330	0.4%	Yes
HIST1H3C	1	1	4330	<0.1%	Yes
HIST1H3D	1	1	4330	<0.1%	Yes
TMEM50B	1	1	4330	<0.1%	No
TYR	1	1	4330	<0.1%	No
ADCK2	1	1	4330	<0.1%	No
GKAP1	1	1	4330	<0.1%	No
FUBP1	5	5	4330	0.1%	Yes
CCDC88C	2	1	4330	<0.1%	No
ATM	9	9	4330	0.2%	Yes
BAP1	12	12	4330	0.3%	Yes
IQANK1	1	1	4330	<0.1%	No
ATR	2	2	4330	<0.1%	Yes
TOP2A	2	2	4330	<0.1%	Yes
HIP1	2	2	4330	<0.1%	Yes
SLC44A1	8	8	4330	0.2%	No
ROBO1	2	2	4330	<0.1%	Yes
RPTOR	1	1	4330	<0.1%	Yes
SH3PXD2A	16	16	4330	0.4%	No
RFPL1S	1	1	4330	<0.1%	No
TFE3	22	22	4330	0.5%	Yes
TFEB	5	5	4330	0.1%	Yes
PDCD1LG2	2	2	4330	<0.1%	Yes
C1QTNF3-AMACR	1	1	4330	<0.1%	No
RAD51B	2	2	4330	<0.1%	Yes
RAD51D	1	1	4330	<0.1%	Yes
RAD51C	1	1	4330	<0.1%	Yes
NME7	1	1	4330	<0.1%	No
WAC	2	2	4330	<0.1%	No
CLDN18	6	6	4330	0.1%	No
TLR4	1	1	4330	<0.1%	No
VGLL3	3	3	4330	<0.1%	No
CXCR4	2	2	4330	<0.1%	Yes
LIMA1	1	1	4330	<0.1%	No
CUX2	2	2	4330	<0.1%	No
CUX1	1	1	4330	<0.1%	Yes
WIF1	3	3	4330	<0.1%	Yes
LMNA	23	23	4330	0.5%	Yes
CTNNA3	1	1	4330	<0.1%	No
CTNNA2	2	2	4330	<0.1%	No
MAP4K5	2	2	4330	<0.1%	No
SUZ12	14	14	4330	0.3%	Yes
SVIL	27	27	4330	0.6%	No
CA10	1	1	4330	<0.1%	No
MLH1	4	4	4330	<0.1%	Yes
MLH3	1	1	4330	<0.1%	Yes
MPP7	1	1	4330	<0.1%	No
TJP1	1	1	4330	<0.1%	No
MARS	2	2	4330	<0.1%	No
CAPZA2	1	1	4330	<0.1%	No
NBR1	1	1	4330	<0.1%	No
CTNNB1	46	46	4330	1.1%	Yes
GALNT11	1	1	4330	<0.1%	No
ARHGAP35	4	4	4330	<0.1%	Yes
CHCHD3	2	2	4330	<0.1%	No
SIRPA	1	1	4330	<0.1%	No
PDE8A	1	1	4330	<0.1%	No
HGF	1	1	4330	<0.1%	Yes
TSC2	12	12	4330	0.3%	Yes
KAZN	1	1	4330	<0.1%	No
ARID5B	1	1	4330	<0.1%	Yes
TSC1	10	10	4330	0.2%	Yes
KCTD5	1	1	4330	<0.1%	No
MYCL	2	2	4330	<0.1%	Yes
MYCN	2	2	4330	<0.1%	Yes
COL4A5	1	1	4330	<0.1%	No
JCAD	1	1	4330	<0.1%	No
LPP	1	1	4330	<0.1%	Yes
PRPF8	1	1	4330	<0.1%	Yes
ARHGAP12	1	1	4330	<0.1%	No
TIMM23B	1	1	4330	<0.1%	No
ATP6V1H	1	1	4330	<0.1%	No
MYH11	4	4	4330	<0.1%	Yes
MYH10	1	1	4330	<0.1%	No
SMAD2	1	1	4330	<0.1%	Yes
SPECC1	4	4	4330	<0.1%	No
SMAD4	6	6	4330	0.1%	Yes
CPSF7	1	1	4330	<0.1%	No
SMAD3	2	2	4330	<0.1%	Yes
CBX5	1	1	4330	<0.1%	No
IDH1	1	1	4330	<0.1%	Yes
NONO	3	3	4330	<0.1%	Yes
PTCH1	5	5	4330	0.1%	Yes
PTCH2	1	1	4330	<0.1%	No
ASPSCR1	8	8	4330	0.2%	Yes
ARHGAP26	4	4	4330	<0.1%	Yes
ESR1	1	1	4330	<0.1%	Yes
ESR2	1	1	4330	<0.1%	No
LRP1B	15	15	4330	0.3%	Yes
NFKBIA	1	1	4330	<0.1%	Yes
NR4A3	5	5	4330	0.1%	Yes
AMACR	1	1	4330	<0.1%	No
DLG4	1	1	4330	<0.1%	No
FES	1	1	4330	<0.1%	Yes
CAPRIN1	4	4	4330	<0.1%	No
FEV	2	2	4330	<0.1%	Yes
BMPR1B	1	1	4330	<0.1%	No
FGFR4	1	1	4330	<0.1%	Yes
FGFR3	91	91	4330	2.1%	Yes
FGFR2	49	49	4330	1.1%	Yes
BMPR1A	2	2	4330	<0.1%	Yes
FGFR1	92	92	4330	2.1%	Yes
KDM5C	1	1	4330	<0.1%	Yes
DOCK4	1	1	4330	<0.1%	No
DOCK9	1	1	4330	<0.1%	No
FHAD1	1	1	4330	<0.1%	No
SEPT9	1	1	4330	<0.1%	Yes
FLCN	2	2	4330	<0.1%	Yes
SEPT6	1	1	4330	<0.1%	Yes
SPRED1	3	3	4330	<0.1%	Yes
CASP8	1	1	4330	<0.1%	Yes
SEPT7	1	1	4330	<0.1%	No
ZC3H7B	1	1	4330	<0.1%	No
KAZN-AS1	1	1	4330	<0.1%	No
KDM6A	2	2	4330	<0.1%	Yes
DCC	2	2	4330	<0.1%	No
PCDHGA1	3	3	4330	<0.1%	No
ARID1A	21	21	4330	0.5%	Yes
ARID1B	8	8	4330	0.2%	Yes
TGFBR2	2	2	4330	<0.1%	Yes
KLF17	1	1	4330	<0.1%	No
TGFBR3	1	1	4330	<0.1%	No
COL6A2	1	1	4330	<0.1%	No
RASA1	3	3	4330	<0.1%	Yes
CDH11	1	1	4330	<0.1%	Yes
DNLZ	1	1	4330	<0.1%	No
MYH9	9	9	4330	0.2%	Yes
LEF1	1	1	4330	<0.1%	Yes
THBS1	1	1	4330	<0.1%	No
STRN3	2	2	4330	<0.1%	No
ERBB2	3	3	4330	<0.1%	Yes
LRIG3	1	1	4330	<0.1%	Yes
SPEN	1	1	4330	<0.1%	Yes
TCF7L2	1	1	4330	<0.1%	Yes
ATE1	1	1	4330	<0.1%	No
USP29	1	1	4330	<0.1%	No
MEIS1	1	1	4330	<0.1%	No
GNPDA1	2	2	4330	<0.1%	No
MLPH	7	7	4330	0.2%	No
KANSL1	1	1	4330	<0.1%	No
